YAML perl-yaml
CGI perl-cgi
Statistics::Distributions  perl-statistics-distributions
Math::CDF perl-math-cdf
Algorithm::Cluster perl-algorithm-cluster
File::Spec perl-file-spec
POSIX perl-posix
Data::Dumper perl-data-dumper
Digest::MD5::File perl-digest-md5-file
IO::All perl-io-all
Object::InsideOut  perl-object-insideout
Class::Std::Fast perl-class-std-fast
GD perl-gd
DBI perl-dbi
DBD::mysql perl-dbd-mysql
DB_File perl-db-file
LWP::Simple perl-lwp-simple
JSON perl-json
XML::LibXML perl-xml-libxml
XML::DOM perl-xml-dom
Log::Log4perl perl-log-log4perl
Number::Format perl-number-format
OLE::Storage_Lite  perl-ole-storage_lite
Readonly perl-readonly
Spreadsheet::WriteExcel perl-spreadsheet-writeexcel
Bio::Perl perl-bioperl
